open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2020-07-22,9388.52,9541.97,9285.13,9518.56,87.148336,2020-07-22 23:59:59.999,821578.6774675,1483,47.587693,448657.09231535
2020-07-23,9520.51,9661.18,9450.0,9608.7,95.568669,2020-07-23 23:59:59.999,912463.04926864,1906,62.174447,593855.67274505
2020-07-24,9601.25,9633.98,9474.37,9542.14,81.623787,2020-07-24 23:59:59.999,779059.24976443,1803,32.958646,315122.86198276
2020-07-25,9541.82,9729.47,9535.47,9699.66,135.852592,2020-07-25 23:59:59.999,1309107.3065032,2666,65.900728,636396.3274574
2020-07-26,9689.94,10130.38,9652.79,9919.91,240.596076,2020-07-26 23:59:59.999,2384130.54628051,3540,155.958914,1544036.36678408
2020-07-27,9933.23,11387.17,9923.16,11025.59,1050.896514,2020-07-27 23:59:59.999,11195355.58645435,9203,540.338725,5755539.46018431
2020-07-28,11032.42,11236.42,10587.94,10912.79,528.408639,2020-07-28 23:59:59.999,5795517.95352946,5969,239.605014,2625191.45193611
2020-07-29,10908.96,11339.99,10833.19,11100.0,159.445256,2020-07-29 23:59:59.999,1771325.25175019,3123,72.301,803582.35509082
2020-07-30,11083.58,11168.31,10833.85,11100.77,84.020996,2020-07-30 23:59:59.999,924036.16200074,2177,39.17219,431240.62050444
2020-07-31,11100.76,11436.77,10963.8,11342.27,120.559704,2020-07-31 23:59:59.999,1357398.54239113,2888,69.122265,777600.91609586
2020-08-01,11339.93,11857.49,11229.46,11807.44,181.397571,2020-08-01 23:59:59.999,2109181.7234409,4987,83.93872,975858.84694159
2020-08-02,11795.37,12106.78,10601.02,11051.39,331.082702,2020-08-02 23:59:59.999,3726671.06907404,6295,142.227788,1599383.15598693
2020-08-03,11071.37,11474.76,10930.95,11218.62,151.111532,2020-08-03 23:59:59.999,1702914.18205245,3313,86.721136,978311.55556418
2020-08-04,11219.18,11414.12,11017.99,11174.62,136.617914,2020-08-04 23:59:59.999,1534738.83723761,2577,43.393014,487911.08647208
2020-08-05,11190.23,11779.04,11091.69,11749.51,169.299941,2020-08-05 23:59:59.999,1951353.80973862,3436,88.057762,1017974.13165573
2020-08-06,11748.49,11902.45,11572.96,11760.52,108.645536,2020-08-06 23:59:59.999,1274112.2342221,2341,53.741336,629030.92068042
2020-08-07,11762.52,11904.26,11503.63,11572.13,110.611031,2020-08-07 23:59:59.999,1289941.19272242,1838,52.855351,617462.63426087
2020-08-08,11592.57,11803.91,11527.84,11753.11,129.942061,2020-08-08 23:59:59.999,1517461.58740314,2110,80.666012,943556.35698285
2020-08-09,11762.89,11795.97,11530.0,11667.78,82.826894,2020-08-09 23:59:59.999,964953.03713323,2012,35.388139,412683.30840112
2020-08-10,11681.74,12059.94,11442.01,11882.65,171.984429,2020-08-10 23:59:59.999,2036538.14444434,2952,72.639169,862120.73853651
2020-08-11,11891.62,11934.6,11119.32,11392.15,176.360102,2020-08-11 23:59:59.999,2032652.04131802,3914,62.300894,716169.73496807
2020-08-12,11389.33,11618.25,11146.46,11566.44,94.555925,2020-08-12 23:59:59.999,1083905.73203528,2031,57.146534,655164.36157363
2020-08-13,11571.37,11790.01,11276.57,11764.66,128.801882,2020-08-13 23:59:59.999,1490633.23510098,2580,66.930086,774638.11419643
2020-08-14,11787.67,11853.21,11638.15,11760.4,119.845929,2020-08-14 23:59:59.999,1411046.99939265,2611,75.325329,888309.35749496
2020-08-15,11762.81,11976.18,11691.56,11867.17,104.310058,2020-08-15 23:59:59.999,1237473.10939457,1731,39.68187,471250.47730398
2020-08-16,11851.89,11928.76,11692.07,11912.1,41.130538,2020-08-16 23:59:59.999,485871.54045425,1308,20.250181,239167.7376688
2020-08-17,11913.37,12464.2,11770.68,12271.4,202.88071,2020-08-17 23:59:59.999,2459145.20656229,3315,99.299728,1204715.05602269
2020-08-18,12285.28,12384.95,11820.0,11957.77,139.84325,2020-08-18 23:59:59.999,1683505.19747339,2329,61.653413,743339.84657522
2020-08-19,11941.63,12001.73,11565.01,11742.87,167.012969,2020-08-19 23:59:59.999,1962443.00632391,2578,92.364886,1085700.97214723
2020-08-20,11750.08,11878.82,11678.38,11864.51,56.581385,2020-08-20 23:59:59.999,667028.47297562,1166,31.15972,367738.97983932
